address,size,rate,type,subtype,id,x,y
"401 W Chapman Ave, Orange, CA, 92866, USA",7700,36,Retail,Storefront,1,-117.856613024071,33.7881689815727
"123 N Olive St, Orange, CA, 92866, USA",3400,30,Retail,Storefront,2,-117.853923019885,33.788563014841
"212 W Chapman Ave, Orange, CA, 92866, USA",3600,36,Retail,Storefront,3,-117.854626010104,33.7873809988552
"710 E Katella Ave, Anaheim, CA, 92805, USA",7780,Upon Request,Retail,Storefront,4,-117.89869897901,33.8024649879907
"2029 W Orangewood Ave, Orange, CA, 92868, USA",3500,12,Retail,Storefront,5,-117.874307976046,33.7965510104767
"2701 N Orange Olive Rd, Orange, CA, 92865, USA",584,16.8,Retail,Storefront,6,-117.846253997575,33.8336840150103
"1936 E Katella Ave, Orange, CA, 92867, USA",4200,41.67,Retail,Restaurant,7,-117.832731976096,33.8088649901603
"1500 E Village Way, Orange, CA, 92865, USA",1500,Upon Request,Retail,Restaurant,8,-117.838054987527,33.8261809962923
"2400 E Katella Ave, Anaheim, CA, 92806, USA",2493,Upon Request,Retail,Restaurant,9,-117.881506019217,33.80421198616
"435 W Center Street Promenade, Anaheim, CA, 92805, USA",10250,Upon Request,Retail,Restaurant,10,-117.918837004303,33.8335120183572
"12913 Harbor Blvd, Garden Grove, CA, 92840, USA",4000,Upon Request,Retail,Restaurant,11,-117.91885896489,33.7755579891501